sentID.BTEC	split	BEI	ALEX	AMM	ASW	ALE	CAI	DAM	JER	SAL	MSA	DOH	RAB	TUN	ALG	BAG	BAS	BEN	FES	JED	KHA	MOS	MUS	ARI	SAN	SFX	TRI
17	corpus-6-train	حابب إحجز أوضتين بتختين.					عايز احجز اوضتين بسريرين .				أريد حجز غرفتين مزدوجتين .	بغيت احجز غرفتين مزدوجتين.	بغيت نحجز جوج غرف ثنائية.	نحب نحجز زوز بيوت بزوز فروشات.													
18	corpus-6-train	ما بدي ياه منزوع.					انا مش عايزه منزوع.				لا أريد إزالتها .	ما أبغيه منزوع.	ما بغيتهوش منزوع.	ما نحبوش يتجبد.													
19	corpus-6-train	هيدا الباص بيوقف بشارع ستونر؟					الأوتوبيس ده حيقف في شارع ستونر؟				هل هذه الحافلة تتوقف في شارع أستونر ؟	يوقف هالباص في شارع ستونر؟	واش كا يحبس هاد الطوبيس في شارع ستونر؟	الكار هاذي تاقف في شارع ستونر؟													
24	corpus-6-train	عمول معروف فتاح تمك عالواسع.					من فضلك افتح بقك جامد.				من فضلك افتح فمك على مداه .	افتح حلجك قد ما تقدر.	حل فمك مزيان عافاك.	عيشك حل فمك بالقدا.													
26	corpus-6-test-corpus-26-train	أدي حق الترويقة؟	بكام الفطار؟	كم سعر الفطور؟	بكام الفطار ده؟	بشقد الفطور؟	بكام الفطار؟	بأديش الفطور؟	قديش الفطور؟	قديش حق هالفطور؟	كم تكلفة الإفطار ؟	بكم الريوق؟	شحال كا يدير الفطور؟	بقداش فطور الصباح؟	شحال القهوة تع الصباح؟	شكد يكلف الريوك؟	ابيش الريوك؟	بكم الفطور؟	شحال الثمن ديال الفطور؟	بكم الفطور؟	بي كم الفطور؟	بشقد التغيوقه؟	بجم سعر الريوق؟	بكم الفطور؟	بكم هو الصبوح؟	بقداش فطور الصباح؟	بقداش الفطور؟
27	corpus-6-test-corpus-26-train	كيف فيني ساعدك؟	إزاى أقدر أساعدك؟	كيف بقدر أساعدك؟	إزاي أقدر اساعدك؟	شلون بقدر أساعدك؟	ازاي أقدر اساعدك؟	كيف فيني ساعدك؟	كيف بقدر أساعدك؟	كيف بقدر اساعدك؟	كيف أستطيع مساعدتك ؟	شلون اقدر اساعدك؟	كيفاش نقدر نعاونك؟	كيفاش انجم نعاونك؟	كيفاش نقدر نعاونك؟	شلون اكدر اساعدك؟	شلون اكدر اساعدك؟	كيف نقدر نساعدك؟	كيفاش نقدر نساعدك؟	كيف أقدر اساعدك؟	كيف ممكن اساعدك؟	اشون اطيق اساعدك؟	كيف اقدر اساعدك؟	كيف اقدر اساعدك؟	كيف اقدر اساعدك؟	كيفاش النجم نعاونك؟	كيف نقدر نساعدك؟
29	corpus-6-train	تعوا ناكل لقمة.					خلينا ناكل لقمة.				دعنا نأخذ قطعة لنأكلها .	خل ناخذ شي ناكله.	يالاه ناخدو شي حاجة ناكلوها.	هيا نمشيو ناكلوا قدمة.													
30	corpus-6-test-corpus-26-train	روح شمال عالزاوية التالتة.	روح شمال عند الناصية الثالثة.	روح يسار من عند الدخلة التالتة.	امشي شمال لغاية الناصية التالتة.	روح عاليسار عند تالت مفرق.	احود شمال عند الناصية التالته.	لف عالشمال بالدخلة التالتة.	روح شمال عند الكورنر التالتة.	روح شمال عند الزاوية الثالثة.	اتجه يسارا عند الناصية الثالثة .	خذ ثالث لفة يسار.	مع القنت التالت دور على ليسر.	دور الدورة الثالثة عاليسار.	دور على اليسار في الطريق الثالثة.	اخذ يسره ثالث زوية.	اخذ يسرة يم ثالث ركن.	أمشي يسار للشوكة الثالثة.	سيرعلى ليسر في الزاوية الثالثة.	روح يسار عند الزواية الثالثة.	أمشي شمال عند الكورنة التالتة.	غوح لليساغ عد ثالث زاويه.	سير يسار للتقاطع الثالث.	لف يسار عند ثالث زاوية.	اخطى يسار عند الركن الثالث.	دور على الليسار مع الزنقة الثالثة.	عند تالت تقاطع خود يسار.
31	corpus-6-train	بتنضف هالتياب؟					ممكن تنضف الهدوم ديه؟				هل لك أن تقوم بتنظيف هذه الملابس ؟	ممكن تنظف هالثياب؟	واخا تغسل هاد لحوايج؟	ميسالش تنضف الحوايج هاذوما؟													
37	corpus-6-dev	أنا بعطيك رقم تلفونو و عنوانو.					انا اديتك تليفونه و عنوانه.				أعطيك رقم تليفونه وعنوانه .	عطيتك رقم تلفونه وعنوانه.	غادي نعطيك رقم التلفون و العنوان ديالو.	نعطيك نومرو التاليفون و الادريسة هاذوما.													
38	corpus-6-train	أنا دفعت وجبات الأكل و مصاريف الأوتيل من قبل.					انا دفعت مقدما حساب الفندق و الاكل.				لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدماًً .	دفعت مصاريف الوجبات والفندق مقدم.	خلصت الماكلة و الأوطيل مسبقاً.	خلصت الماكلة و الوتيل بالمسبق.													
40	corpus-6-train	عمفتش على مطعم رايق و حلو للشوي . بتحط عليهن إشارة عهالخريطة؟					بأدور على حاتي كويس ويكون هادي. ممكن توريني مكانهم عالخريطة دي؟				أبحث عن مطعم جيد ، للمشويات . هل يمكنك أن تشير إلى أماكن تلك المطاعم على الخريطة ؟	قاعد ادور مطعم مشويات زين وهادي. ممكن تأشر عليهم في الخريطة؟	كا نقلب على شي مطعم زوين، وهادئ من نوع الشوا. واخا توريهم في هاد الخريطة؟	نلوج في مشوى باهي و هادي. تنجم توريني وين عالخريطة هاذي؟													
42	corpus-6-train	إذا كسرته، تشتريه.					اللي تكسره، تشتريته.				أنت تقوم بكسرها ، فأنت الذي اشتريتها .	اذا كسرته تشتريه.	الا هرسته، خاصك تشريه.	الي يكسر حاجة يشريها.													
46	corpus-6-train	رح قلا تدقلك شي إنو ترجع.					حأبلغها تكلمك اول ما ترجع.				سوف أخبرها بأن تتصل بك بمجرد أن تصل .	بقول لها تكلمك اول ما ترجع.	غادي نقول ليها تعيط ليك منين ترجع.	تو نقلها تكلمك دوب ما تروح.													
50	corpus-6-test-corpus-26-train	عبالك كريمة و سكر بقهوتك؟	تحب كريمة وسكر فى القهوة بتاعتك؟	بتحب الكريمة والسكر مع قهوتك؟	عايز كريمة وسكر على القهوة بتاعتك؟	بتريد كريمة وسكر بقهوتك؟	تحب كريمة و سكر في قهوتك؟	بتحب كريما وسكر مع القهوة؟	بتحب السكر و الكريمة مع قهوتك؟	بتحب كريما و سكر بقهوتك؟	هل تحب أن تضع قشدة وسكر في قهوتك ؟	بغيت سكر وكريمة في القهوة؟	واش تبغي لاكريم و السكر في القهوة ديالك؟	تحب كريمة و سكر في قهوتك؟	تحب الكريمة و السكر فالقهوة ديالك؟	تحب اخليلك كريم وشكر بالكهوة مالتك؟	تريد كريمة وشكر بكهوتك؟	تبي كريمة و سكر في قهوتك؟	واش تبغي كريم وسكر في القهوة ديالك؟	تبا كريم وسكر في قهوتك؟	داير كريمة و سكر في قهوتك؟	اتغيذ كريمه وشكر بالقهوي مالتك؟	تبا نحط لك كريم و سكر بالقهوة؟	ودك بكريمة و سكر في قهوتك؟	تشتي كريمه وسكر في القهوة؟	تحب الكريمة و السكر في قهوتك؟	تبي حليب و سكر في قهوتك؟
51	corpus-6-train	هيي عنجد منصابة.					هي متعورة جامد.				لقد أصيبت إصابة بالغة .	هي متعورة واجد.	راها مضروبة بزاف.	جروحها خطيرة.													
52	corpus-6-train	بدي قداحة.					عاوز ولاعة.				أريد قداحة .	بغيت ولاعة.	بغيت بريكا.	نحب بريكية.													
53	corpus-6-train	هالأوتيل عندو تجهيزات لمؤتمر؟					فيه في الفندق ده تجهيزات للمؤتمرات؟				هل لدى هذا الفندق تجهيزات للمؤتمرات ؟	في تجهيزات للمؤتمرات في هالفندق؟	واش هاد الأوطيل فيه تجهيزات ديال المؤتمرات؟	الوتيل هذا فيه تجهيزات لكونفرونس؟													
56	corpus-6-train	معليش إذا أخدنا وجبة خفيفة؟					حيكون كويس لو اخدنا وجبة خفيفة؟				هل من المناسب أن نتناول وجبة خفيفة ؟	معليه ناكل وجبة خفيفة؟	واش ماشي مشكل ناخدو غير وجبة خفيفة؟	ميسالش نعملو تحريشة و برا؟													
57	corpus-6-train	عمبتصل من المطار . رح كون هونيك حوالي الأربعة.					انا بأكلمك من المطار . حأكون هناك حوالي اربعه.				أنا أتصل من المطار . سأصل هناك في حوالي الساعة الرابعة .	انا اتصل من المطار، بكون عندك على الساعة اربع.	كا نعيط من المطار. غادي نكون تما معا الربعة تقريباً.	نكلم فيك مالمطار. نوصل لغادي مع الاربعة.													
62	corpus-6-train	وين بنقل على شيكاغو؟					من فين أقدر أروح لشيكاجو؟				أين سأغير إلى شيكاغو .	وين اقدر احول لشيكاغو؟	منين نحول لشيكاغو؟	منين نحول لشيكاغو؟													
63	corpus-6-train	أدي حق رسالة مسجلة لتنبعت على فرنسا؟					بكام أقدر ابعت جواب مسجل لفرنسا؟				كم تكلفة إرسال خطاب مسجل إلى فرنسا ؟	كم يكلف ارسال رسالة مسجلة لفرنسا؟	بشحال نقدر نصيفط رسالة مسجلة لفرنسا؟	بقداش جواب مصوقر لفرانسا؟													
64	corpus-6-test-corpus-26-train	فيك تصرفلي الشيك تبعي تبع المتين دولار؟	ممكن تدفع الشيك بتاعى اللى بميتين دولار؟	ممكن تصرفلي الشيك بميتين دولار؟	ممكن تصرفلى الشيك بتاعى بمتين دولار؟	خرج تصرفلي شيك الميتين دولار تبعي؟	ممكن تصرفلي شيك بميتين دولار؟	ممكن تصرفلي هاد الشيك بقيمة ميتين دولار؟	بتقدر تصرفلي شك الميتين دولار تبعي؟	بتقدر تصرف هاد الشيك تبعي بميتين دولار؟	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟	ممكن تصرف لي قيمة جيكي بو ميتين دولار كاش؟	تقدر تخلص الشيك ديالي ديال ميتين دولار؟	تنجم تصبلي ها الشاك بميتين دولار متاعي؟	تقدر تصرفلي الميتين دولار تاوعي لي راهوم فالشاك؟	ممكن تصرفلي الصك مالتي أبو الميتين دولار؟	تكدر تصرف صك الميتين دولار مالتي؟	تقدر تصرفلي شيك ميتين دولار بتاعي؟	واش ممكن تصرف الشيك ديالي ديال مئتي دولار؟	ممكن تعطيني كاش للشيك دا الميتين دولار؟	هل يمكنك تصرف شيكي البي متين دولار؟	تطيق تصرفلي شيك قيمتو ميتين دولار؟	هل تقدر تصرفلي شيك بمائتي دولار؟	تقدر تصرف لي شيك المئتين دولار حقتي؟	تقدر تصرف لي شيك الميتين الدولار؟	تنجم تصبلي الميتين دولار من الشاك هذا؟	ممكن تصرفلي الشيك متاعي الي بميتين دولار؟
68	corpus-6-train	عنجد كتيرمختلفة السواقة عالميلة اليمين من الشارع.					ده فعلا مختلف ان الواحد يسوق على جنب الشارع اليمين.				إن القيادة على الجانب الأيمن من الطريق مختلفة تماماً بالفعل .	وايد فرق لما تسوق على الجهة اليمين.	السياقة مختالفة بزاف من الجنب ليمن ديال الزنقة.	فما فرق كبير كيف تسوق عاليمين.													
69	corpus-6-train	الممثل عنجد بيعقد.					الممثل ده حقيقي رائع.				كان الممثل رائعا بالفعل .	الممثل واجد عجيب.	الممثل واعر بزاف.	الممثل هذا طيارة بالحق.													
72	corpus-6-train	وين القسم تبعك اللي مش خيالي؟					فين قسم الكتب اللي مش خياليه بتاعك؟				أين الجانب غير الخيالي في شخصيتك ؟	وين قسم الكتب الواقعية؟	فين هو القسم ديال الكتاب الواقعي؟	وينو الجزء متاع الكتب اللي ميش ادبية؟													
74	corpus-6-test-corpus-26-train	إذا لازم يبين، عمل معروف دقلي.	لو المفروض يظهر، كلمنى لو سمحت.	ازا بده يظهر، لو سمحت كلمني.	لو المفروض يظهر، كلمني.	إذا لازم يبين، اتصل فيني إذا سمحت.	لو لازم يظهر، لو سمحت كلمني .	إذا بين، اتصل فيني رجاءً.	ازا لازم يظهر، احكي معي.	اذا لازم يظهر، لو سمحت احكي معي.	إذا حدث ذلك ، من فضلك أتصل بي .	اذا المفروض يصير، اتصل فيني.	إلا خصو يبان، عيط ليا عفاك.	لو لازم يضهر، كلمني عيشك.	ويدا لازم يظهر، عيطلي من فضلك.	اذا صار شي، رجاءً اتصل بيه.	اذا لازم يبين، خابرني بلا زحمة.	لو المفروض يبان، كلمني لو سمحت.	الى خصه يبان، اتصل بيا عافاك.	اذا لازم يظهر، اتصل عليا لو سمحت.	اذا مفروض يظهر، من فضلك اتصل على.	اذا لازم يبين، رجاءا اتصل بيي.	اذا كان مفروض يبين، اتصل فيني لو سمحت.	اذا كان يجب ان يظهر، الرجاء الاتصال بي.	اذا لازم يظهر، لو سمحت اتصل لي.	لو لازم يضهر، كلمني عيشك.	كانا لازم يبان، كلمني لو سمحت.
78	corpus-6-dev	فيك تغيرلي مقعدي؟					ممكن لو سمحت تغير الكرسي بتاعي؟				هل يمكن أن تغير مقعدي من فضلك ؟	ممكن تغير كرسيي؟	تقدر تبدل ليا البلاصة عفاك؟	ممكن تبدللي بقعتي؟													
79	corpus-6-train	في كقالة؟					فيه ضمان؟				هل هناك ضمانا ؟	في ضمان؟	واش كاين شي ضمانة؟	فما قارانطي؟													
83	corpus-6-train	بعتذر، رح إهتم بالكلب.					أسف، انا حأخد بالي من الكلب.				عفوا , أنا سأعتني بالكلب .	مسامحة، بحط بالي على الكلب.	سمح ليا، غادي نتهلا في الكلب.	سامحني، تو نتلهى بالكلب.													
84	corpus-6-train	"بدي بطاقتين لل ""بسينات""، لهالخميس."					انا عايز تذكرتين علشان حفلى ال كاتس، الخميس ده.				أريد تذكرتين للقطط ليوم الخميس .	"بغيت تذكرتين حق ""كاتس"" هالخميس."	بغيت جوج وراق ل''كاتس ''، لهاد الخميس.	اعطيني زوز تساكر متاع قطاطس، للخميس هذا.													
86	corpus-6-test-corpus-26-train	وين القهوة؟	فين الكوفى شوب؟	وين الكوفي شوب؟	فين الكوفي شوب؟	وين الكافيه؟	فين القهوة؟	وين القهوة؟	وين الكوفي شوب؟	وين الكوفي شوب؟	أين المقهى ؟	وين الكوفي شوب؟	فين القهوة؟	ويني القهوة؟	وين جايا القهوة؟	وين صايره الكهوة؟	وين الكهوة؟	وين الكافي؟	في كاين المقهى؟	فين المقهى؟	وين المقهى؟	وين مكان الجيخانه؟	وين صاير المقهي؟	وين المقهى؟	اين هو الكافيه؟	وين تجي القهوة؟	وين مكان القهوه؟
87	corpus-6-test-corpus-26-train	بدي كنزة للولاد.	عاوز بلوفر أطفال.	بدي بلوفر أطفال.	كنت عايز بلوفر اطفال.	بدي كنزة اطفال.	عايز بلوفر اطفال.	بدي كنزة أطفال.	بدي جرزة أطفال.	بدي بلوفر للأطفال .	أريد جاكيت للأطفال .	بغيت فانلة يهال.	بغيت تريكو ديال الدراري الصغار.	نحب مريول متاع صغار.	راني حاب تريكو تع أطفال.	اريد سترة مال أطفال.	اريد سترة جهال.	نبي مالية بتاع أطفال.	بغيت لبيسة ديال الدراري الصغار.	أبا سترة اطفال.	داير بلوفر أطفال.	اغيد سترة اطفال.	أبغا سترة للأطفال.	ابغى سترة للأطفال.	أشتي سترة أطفالي.	نحب مريول للأولاد.	نبي ماليه متاع صغار.
89	corpus-6-dev	إسمك مرة تاني؟					اسمك تاني لو سمحت؟				اسمك مرة ثانية ؟	شسمك مرة ثانية؟	شنو سميتك مرة خرا؟	تنجم تعاودلي اسمك؟													
90	corpus-6-train	إستاذ براون هون؟					استاذ براون موجود؟				هل مستر برون هناك ؟	سيد براون موجود؟	واش كاين مستر براون؟	سي براون موجود؟													
91	corpus-6-test-corpus-26-train	أوك، بيكلف خمس و تمانين سنت للإيميل العادي و تلاتي دولار بالظبط زيادة للتوصيل الخاص.	أوكى. بيكلف خمسة و ثمانين سنت للإيميل العادى و ثلاثة دولار بالظبط زيادة للتوصيل الخاص.	طيب. بكلف تمنية وخمسين سنت للبريد العادي وتلاتة دولار بالزبط اضافية للتوصيل الخاص.	ماشي. هتكلف خمسة وتمانين سنت لو بالبريد العادي وتلات دولارات بالظبط زيادة لو بالتوصيل الخاص.	ماشي. بكلف خمسة وتمانين سنت بالبريد العادي وتلات دولارات بالضبط إضافية للتوصيل الخاص.	اوكيه . ده بيكلف خمسه و تمانين سنت للبريد العادي أو زيادة تلات دولارات بالظبط للبريد المخصوص.	أوك. هاد بكلف خمسة وتمانين سنت بالبريد العادي وزيادة تلاتة دولار بالظبط للتوصيل الخاص.	طيب. بتكلف خمسة و تمانين سنت للبريد العادي و تلات دولارات بالزبط اضافية للتوصيل الخاص.	ماشي، رح يكلف خمس و ثمانين سينت للبريد العادي، و ثلاثة دولار بالزبط اضافية للتوصيل الخاص.	حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .	اوكي. يكلف خمسة وثمانين سنت بالبريد العادي وثلاث دولارات بالضبط زيادة حق التسليم الخاص.	واخا. كايدير خمسة و تمانين دولار للبريد العادي و تلاتة دولار بالضبط زيادة للتوصيل الخاص.	باهي. مراسلة عادية بخمسة و ثمانين سنت وزايدة تلاثة دولارات بالضبط للمراسلة اللي من النوع لبخاص.	ايه. معنتها خمسة و ثمانون سنت للبرية العادية، و تزيدلها ثلاثة دولار بالضبط باش تبعثها اكسبرس.	ماشي. هاي تكلف خمسة وثمانين سنت للبريد العادي وتلث دولارات بالضبط إضافية للتسليم الخاص.	اوكي. البريد العادي يكلف خمسة وثمانين سنت و بس تلث دولارات إضافية زيادة للتوصيل الخاص.	اوكي. يكلف خمسة وثمانين سنت للبريد العادي و ثلاثة دولار بالضبط زيادة للتوصيل الخاص.	واخا. غادي يكلف خمسة وثمانين سنت للبريد العادي وثلاثة بالضبط ديال الدولار اضافية للتوصيل الخاص.	اوك. يكلف خمسة وتمانين سنت للأيميل العادي وزيادة تلاتة دولار بالضبط للتوصيل الخاص.	اوكي. هو يكلف خمسة وتمنين سنت للبريد العادي و تلاتة دولارات بالظبط زيادة للتسليم الخاص.	اوكي. اتكلف خميسي وثمانين سنت للبريد الاعتيادي وثلاث دولارات بالضبط اضافية للتوصيل الخاص.	انزين. وتكلف خمسة وثمانين سنتا للبريد العادي وثلاثة دولارات بالضبط إضافية للتسليم الخاص.	طيب. تكلف خمس و ثمانين سنت للبريد العادي و ثلاث دولارات بالضبط إضافية للتوصيل الخاص.	تمام. يكلف خمسه وثمانين سنت للبريد العادي و ثلاثه دولار بالضبط زياده للتوصيل الخاص.	باهي. خمسة و ثمانين ألف في جواب عادي، تزيد ثلاثة دولار بالظبط باش يوصلك فيسع.	باه. حتكلفك خمسه و تمانين سنت للبريد العادي و تلاته دولار بالضبط زيادة للتوصيل الخاص.
92	corpus-6-train	فيني إستأجر يخت ليوم واحد؟					ممكن أأجر مركب ليوم؟				هل يمكن أن أؤجر قارب ليوم ؟	ممكن أأجر طراد حق يوم واحد؟	نقدر نكري باطو لنهار؟	انجم نكري بطو على نهار؟													
93	corpus-6-train	عأي شباك فيني إحجز؟					ممكن أحجز في أى شباك؟				عند أي نافذة يمكن أن أقوم بعمل الحجز ؟	في أي كشك يصير احجز؟	في إينا شرجم نقدر نحجز؟	في انا شباك انجم نعمل حجز؟													
94	corpus-6-train	شو هيدا؟					أيه ده؟				ما هذا ؟	شنو ذي؟	شنو هوا هاذا؟	شنوة هاذاكا؟													
96	corpus-6-train	فيك تقلي كيف بوصل عالأوبيرا؟					ممكن تقوللي ازاي أروح الاوبرا؟				هل يمكنك أن تخبريني كيف أستطيع أن أصل إلى الأوبرا ؟	ممكن تقول لي شلون اروح الأوبرا؟	تقدر تقول ليا منين نمشي للأوبيرا؟	تقلي كيفاش نمشي للاوبرا يعيشك؟													
97	corpus-6-train	ما كنت مبارح سكران شوي، حبيبي؟					انت ماكنتش سكران شويه الليله اللي فاتت، حبيبي؟				ألم تكن مخمور بدرجة كبيرة بعض الشيء في الليلة الماضية يا عزيزي ؟	حبيبي مو جنك كنت واجد سكران البارحة؟	ماكنتيش شويا سكران لبارح، أحبيبي؟	موش كاينك سكرت شوية البارح، يا عزيزي؟													
98	corpus-6-train	اذا بتريد لحاق التعليمات من فريقنا .					لو سمحت خليك ورا تعليمات الموظفين بتوعنا .				من فضلك اتبع التعليمات الصادرة من موظفينا .	اتبع تعليمات موظفينا لو سمحت.	عفاك تبع التعليمات ديال الطاقم ديالنا.	عيشكم تبعو تعليمات الموضفين متاعنا.													
100	corpus-6-dev	في محل شامل قريب من هون؟					فيه هايبر ماركت قريب من هنا؟				هل يوجد هنا محل متعدد الأقسام بالقرب من هنا .	في مركز تجاري قريب من هني؟	واش كاين شي متجر شامل قريب من هنا؟	فما حانوت شامل قريب من هنا؟													
102	corpus-6-train	فولا، إذا بتريد.					فول، لو سمحت.				املأ خزان الوقود من فضلك .	فل، لو سمحت.	عمر، عافاك.	عبيهولي للفم، عيشك.													
103	corpus-6-train	في أوضة أرخص؟					فيه اى اوضه ارخص؟				هل يوجد غرفة بسعر أرخص ؟	في غرفة أرخص؟	واش كاينا شي غرفة أرخص؟	فما بيت ارخص؟													
104	corpus-6-train	بفضل سيارة أوتوماتيك.					انا بأفضل العربيات الاوتوماتيك .				أفضل سيارة بها نظام إلي لنقل الحركة .	افضل سيارة اوتوماتيك.	كا نفضل سيارة اوطوماتيك.	نفضل كرهبة اوتوماتيك.													
