sentID.BTEC	split	lang	sent
280	corpus-6-test-corpus-26-train	FR	Le poste vingt-quatre, s'il vous plaît.
281	corpus-6-train	FR	Pourriez-vous me l'épeler?
285	corpus-6-test-corpus-26-train	FR	Voici deux dollars. Gardez la monnaie.
286	corpus-6-train	FR	A quelle heure est le dîner?
287	corpus-6-train	FR	J'ai bien peur que ce soit trop pour moi.
288	corpus-6-train	FR	Où dois-je descendre pour aller à Union Square?
290	corpus-6-train	FR	Vous pouvez demander au guichet de location là-bas.
293	corpus-6-train	FR	Salut, Jean. Pourrais-tu emmener cela chez le teinturier?
296	corpus-6-train	FR	Je suis en vacances.
298	corpus-6-train	FR	Non. J'ai l'intention de visiter Paris à mon retour.
299	corpus-6-dev	FR	Est-ce que vous l'emportez ou devons-nous le faire suivre?
301	corpus-6-train	FR	Il y a eu un boom gastronomique ces derniers temps, n'est-ce pas?
302	corpus-6-train	FR	Ça fait bientôt six heures maintenant.
303	corpus-6-train	FR	Vol Delta Airlines numéro cent douze. L'embarquement est retardé.
304	corpus-6-train	FR	Avez-vous une chambre avec des lits jumeaux pour cette nuit?
305	corpus-6-train	FR	Pourriez-vous rédiger une déclaration de vol pour ma compagnie d'assurance, s'il vous plaît?
306	corpus-6-train	FR	Je ne suis pas doué pour les photos et je pense qu'un appareil automatique me conviendrait mieux.
307	corpus-6-train	FR	Est-ce le bon quai pour New York?
308	corpus-6-train	FR	Bonnes vacances.
312	corpus-6-train	FR	Donnez-moi de la gaze, s'il vous plaît.
313	corpus-6-train	FR	Je voudrais une pomme de terre au four avec de la crème fraîche, s'il vous plaît.
314	corpus-6-train	FR	Oui, toutes les dix minutes.
315	corpus-6-test-corpus-26-train	FR	Un hamburger et un cheeseburger, s'il vous plaît.
319	corpus-6-test-corpus-26-train	FR	Combien prenez-vous pour le développement?
320	corpus-6-test-corpus-26-train	FR	Nous aimerions payer chacun notre repas.
322	corpus-6-train	FR	Je pars demain matin.
323	corpus-6-train	FR	J'y vais aussi. Que diriez-vous de prendre un taxi ensemble?
324	corpus-6-train	FR	Asseyez-vous et mettez-vous à l'aise. Vous désirez quelque chose à boire? Du café, du thé ou un soda?
325	corpus-6-train	FR	C'est très gentil de votre part de dire ça.
326	corpus-6-test-corpus-26-train	FR	Il était sur une chaise dans le couloir.
327	corpus-6-train	FR	Du rôti de bœuf, s'il vous plaît.
329	corpus-6-dev	FR	Quand pourra-t-on avoir une table?
331	corpus-6-train	FR	Est-ce que je pourrais changer ma commande? J'aimerais de la sole au lieu des huîtres.
333	corpus-6-test-corpus-26-test	FR	Veuillez changer ces yens en livres.
336	corpus-6-train	FR	Qu'est-ce qu'une appendicectomie?
338	corpus-6-train	FR	Pourriez-vous me donner les reçus avec les détails du traitement médical?
346	corpus-6-test-corpus-26-train	FR	Je voudrais un dictionnaire de poche, s'il vous plaît.
349	corpus-6-train	FR	Eh bien, je ne sais pas.
350	corpus-6-train	FR	Félicitations, j'ai appris que vous êtes devenu vice-président.
351	corpus-6-train	FR	Après-demain dans la soirée.
352	corpus-6-train	FR	Je vis dans le sud du Japon.
353	corpus-6-train	FR	Un billet aller-retour pour Chicago, s'il vous plaît.
355	corpus-6-train	FR	Aimeriez-vous du bacon ou du jambon avec vos œufs?
358	corpus-6-train	FR	Pour étudier.
359	corpus-6-train	FR	Faites vite, s'il vous plaît.
360	corpus-6-test-corpus-26-train	FR	Pour deux personnes à dix-neuf heures, au nom de Watanabe.
364	corpus-6-train	FR	La climatisation ne marche pas.
365	corpus-6-train	FR	C'est comme ça tous les lundis.
366	corpus-6-train	FR	Veuillez vous diriger vers le hall des départs internationaux. Nous vous souhaitons un agréable vol.
367	corpus-6-train	FR	Proposez-vous des excursions à Paris en Eurostar?
368	corpus-6-test-corpus-26-train	FR	Ma montre. C'était une digitale Seiko.
369	corpus-6-train	FR	J'ai apporté du Japon le certificat médical de mon médecin.
370	corpus-6-test-corpus-26-train	FR	Nous nous ferons un plaisir de vous servir une boisson de votre choix, suivie du dîner. Vous trouverez la carte complète des boissons proposées sur ce vol dans le guide d'information de notre magazine.
373	corpus-6-test-corpus-26-test	FR	Vous habitez par ici?
374	corpus-6-train	FR	Pourriez-vous l'envoyer au Japon?
375	corpus-6-test-corpus-26-train	FR	Où se trouve la boutique de cadeaux?
379	corpus-6-train	FR	Puis-je vous recontacter vendredi pour vous donner la réponse?
380	corpus-6-train	FR	Et bien, laissez-moi vérifier les objets trouvés. De quel type d'appareil photo s'agit-il?
381	corpus-6-train	FR	Je suis vraiment désolé, nous préparons votre chambre.
383	corpus-6-train	FR	Oh, il indique les stations de métro et les arrêts de bus. Est-ce que je peux le garder?
384	corpus-6-train	FR	Ah, Shibazuke me manque.
386	corpus-6-test-corpus-26-test	FR	Je suis sur l'autoroute numéro un, près de Morro Bay.
389	corpus-6-train	FR	Oui, c'est possible. Un cours d'une demi-journée ou d'une journée complète.
390	corpus-6-train	FR	Je vous conseillerais une paire de boucles d'oreille.
391	corpus-6-test-corpus-26-train	FR	Je voudrais un réveil, s'il vous plaît.
392	corpus-6-train	FR	Je voudrais annuler ma réservation, s'il vous plaît.
394	corpus-6-train	FR	Quel est votre procédure de remboursement?
397	corpus-6-train	FR	Les lumières ne marchent pas.
398	corpus-6-test-corpus-26-dev	FR	Au fait, je m'appelle Hiroshi Iijima.
400	corpus-6-train	FR	Quel est le décalage horaire entre Tokyo et ici?
401	corpus-6-test-corpus-26-dev	FR	Ce train s'arrête à Lake Forest, n'est-ce pas?
403	corpus-6-train	FR	Combien ça fait en tout?
404	corpus-6-train	FR	Merci, Monsieur.
405	corpus-6-train	FR	Allez tout droit et tournez à droite à la troisième rue.
407	corpus-6-train	FR	J'ai des douleurs aiguës à l'estomac.
408	corpus-6-test-corpus-26-train	FR	La plupart des Japonais mangent de la pieuvre et du calamar.
411	corpus-6-train	FR	Vous avez vu ça?
412	corpus-6-train	FR	C'est un cadeau. Pourriez-vous me faire un emballage-cadeau, s'il vous plaît?
414	corpus-6-train	FR	Bonjour, Mme Kent. Ça fait longtemps que je ne vous ai vue.
416	corpus-6-test-corpus-26-train	FR	Puis-je avoir des billets de deuxième classe pour Chicago, s'il vous plaît?
417	corpus-6-train	FR	Je vous en prie.
419	corpus-6-test-corpus-26-train	FR	Je suis allé à New York.
422	corpus-6-train	FR	J'aimerais changer ma réservation pour le vol deux zéro cinq du deux octobre.
423	corpus-6-test-corpus-26-train	FR	Quel est le numéro du vol?
426	corpus-6-train	FR	Où se trouve le comptoir d'enregistrement de Delta?
427	corpus-6-train	FR	Est-ce un repas contenant peu de sel?
429	corpus-6-train	FR	Cet objet n'est pas autorisé.
431	corpus-6-train	FR	Je crois que c'est possible. Voici votre récépissé.
432	corpus-6-train	FR	Qu'est-ce que vous enlevez en dernier avant de vous coucher?
437	corpus-6-train	FR	Non, je vais le prendre pendant mon séjour.
438	corpus-6-train	FR	Résiste-t-il à la décoloration?
439	corpus-6-train	FR	Est-ce une spécialité de cette région?
440	corpus-6-train	FR	Je voudrais des biscuits.
442	corpus-6-test-corpus-26-test	FR	Une personne pour New York, s'il vous plaît.
446	corpus-6-test-corpus-26-train	FR	Pendant quelques jours.
447	corpus-6-test-corpus-26-train	FR	La seconde sur la gauche.
448	corpus-6-train	FR	Ils sont trop petits.
452	corpus-6-train	FR	Est-ce que les excursions sont difficiles?
454	corpus-6-dev	FR	Je voudrais une place près de la fenêtre, s'il vous plaît.
456	corpus-6-train	FR	Est-ce que je peux monter avec une carte Eurailpass?
457	corpus-6-train	FR	Combien de temps faut-il pour aller au Japon?
458	corpus-6-train	FR	Avez-vous des cartes routières?
459	corpus-6-train	FR	Oh, oui. J'ai lu quelque chose sur lui dans le guide.
461	corpus-6-train	FR	J'ai commandé trois tasses de thé, mais nous n'en avons que deux.
462	corpus-6-train	FR	Les appareils électriques sont très bon marché, mais les repas et l'hébergement sont extrêmement chers.
463	corpus-6-train	FR	A emporter.
465	corpus-6-train	FR	D'habitude je prends une taille quarante-deux au Japon.
466	corpus-6-train	FR	Quels sont les horaires d'ouverture du Musée de l'Art?
470	corpus-6-train	FR	Où dois-je payer?
471	corpus-6-test-corpus-26-dev	FR	Cette carte, d'accord?
475	corpus-6-train	FR	C'est votre premier voyage à l'étranger?
477	corpus-6-train	FR	Quel est le cours pour les débutants?
479	corpus-6-train	FR	Les fruits ne manquent pas de variété dans ce pays.
480	corpus-6-dev	FR	J'aimerais enregistrer cette valise.
482	corpus-6-train	FR	Y a-t-il un restaurant au chalet sur cette piste?
483	corpus-6-train	FR	Excusez-moi, je me suis enfermé à l'extérieur. Puis-je avoir une autre clé, s'il vous plaît?
485	corpus-6-train	FR	Echangez ces dollars américains contre des yens japonais, s'il vous plaît.
487	corpus-6-dev	FR	C'est dur de dire au revoir.
488	corpus-6-test-corpus-26-train	FR	La réception? Y a-t-il une clinique près d'ici?
489	corpus-6-train	FR	Excusez-moi. Puis-je vous demander le nom de ce plat? Il a l'air délicieux.
490	corpus-6-train	FR	Ils pincent.
492	corpus-6-train	FR	A quelle porte dois-je ensuite me rendre?
493	corpus-6-test-corpus-26-train	FR	Est-ce que dix dollars suffiront pour le taxi?
495	corpus-6-train	FR	J'ai trouvé l'interprétation excellente et l'intrigue captivante.
496	corpus-6-train	FR	Eh bien, merci beaucoup.
497	corpus-6-train	FR	Je ne suis pas satisfait de cette chambre. Pouvez-vous m'en montrer une autre?
498	corpus-6-train	FR	C'est le dernier cri cet été.
499	corpus-6-train	FR	Emmenez-moi au centre ville, s'il vous plaît.
502	corpus-6-train	FR	Pourrais-je louer une voiture?
503	corpus-6-test-corpus-26-train	FR	Le goût est bizarre.
505	corpus-6-train	FR	Veuillez le réparer pendant mon absence.
507	corpus-6-train	FR	Servez-vous des amuse-gueules?
508	corpus-6-train	FR	Veuillez parler lentement.
509	corpus-6-train	FR	J'arrive avec une heure de retard.
511	corpus-6-train	FR	Je m'appelle Ken.
512	corpus-6-test-corpus-26-train	FR	Oui. Attendez, je vous en apporte.
513	corpus-6-train	FR	Garçon.
514	corpus-6-train	FR	Est-ce qu'il a plu toute la semaine?
516	corpus-6-test-corpus-26-train	FR	Une demi-bouteille, s'il vous plaît.
517	corpus-6-train	FR	Est-ce qu'ils proposent des spectacles en direct?
523	corpus-6-train	FR	Pourrais-je voir cet attaché-case?
524	corpus-6-train	FR	Avez-vous autre chose?
525	corpus-6-train	FR	Vous avez besoin de vous reposer.
528	corpus-6-train	FR	Veuillez remplir cette carte de débarquement et cette déclaration de douane.
530	corpus-6-train	FR	Cette voiture va-t-elle à Seattle?
531	corpus-6-train	FR	Est-ce que je paie une partie du prix maintenant?
532	corpus-6-train	FR	C'est naturel ou artificiel?
533	corpus-6-train	FR	Est-ce que vous pouvez m'attendre ici?
535	corpus-6-train	FR	Oh, merci. J'étais justement en train de le chercher.
538	corpus-6-train	FR	Vous payez comptant ou je le mets sur votre compte?
539	corpus-6-train	FR	Cet endroit m'est complètement étranger.
540	corpus-6-test-corpus-26-train	FR	Pas vraiment. Juste quelque chose de pas cher.
541	corpus-6-dev	FR	Est-ce que c'est lavable en machine ou à la main à la maison?
542	corpus-6-dev	FR	Je voudrais une boîte d'aquarelles, s'il vous plaît.
543	corpus-6-train	FR	Je suis désolé. Que vouliez-vous?
544	corpus-6-train	FR	Je voudrais changer la date pour le quinze mai.
545	corpus-6-train	FR	Veuillez signer ici et voici votre reçu pour vos dépenses.
546	corpus-6-train	FR	Je voudrais des bas.
547	corpus-6-train	FR	J'aimerais de l'agneau.
548	corpus-6-test-corpus-26-train	FR	Cherchez-vous quelque chose en particulier?
549	corpus-6-train	FR	Je veux aller à Penn Station. Quel bus dois-je prendre?
551	corpus-6-test-corpus-26-train	FR	Quatre nuits.
553	corpus-6-test-corpus-26-train	FR	J'ai besoin de chaussettes.
556	corpus-6-train	FR	Il y a très peu de calories. Seulement trente.
557	corpus-6-train	FR	Je voudrais réserver une chambre.
558	corpus-6-train	FR	D'où êtes-vous au Japon?
560	corpus-6-train	FR	Malheureusement, il est très occupé ce jour-là.
561	corpus-6-dev	FR	Dans ce cas, je vous recommande celui-ci.
563	corpus-6-train	FR	Service à l'étage.
564	corpus-6-train	FR	Votre attention, s'il vous plaît.
565	corpus-6-test-corpus-26-train	FR	Pourriez-vous nous faire un prix parce qu'il y a des taches?
567	corpus-6-train	FR	Avez-vous des timbres commémoratifs?
568	corpus-6-train	FR	Ici la chambre trois cent dix-sept. Pourrais-je avoir une autre couverture?
569	corpus-6-train	FR	Pourriez-vous m'emmener à la gare en quinze minutes?
570	corpus-6-train	FR	Nous avons besoin d'une caution pour la voiture.
571	corpus-6-test-corpus-26-train	FR	Un homme m'a bousculé. J'ai ensuite remarqué que mon portefeuille avait disparu.
572	corpus-6-train	FR	Aucune chambre simple n'est disponible mais nous avons une chambre double.
573	corpus-6-train	FR	Ce billet n'est-il valable que pour le jour mentionné?
575	corpus-6-train	FR	A quelle heure arrive-t-il à Milan?
576	corpus-6-train	FR	Est-ce que quelqu'un parle japonais?
577	corpus-6-train	FR	Sur quelle chaîne passe la musique pop?
579	corpus-6-train	FR	Delta Airlines.
580	corpus-6-train	FR	Je voudrais du café.
581	corpus-6-train	FR	Est-ce qu'il y a une baignoire et des toilettes?
582	corpus-6-train	FR	C'est l'heure.
584	corpus-6-train	FR	J'ai entendu dire que M. Yamada avait deux enfants.
586	corpus-6-train	FR	J'aimerais louer un voilier.
588	corpus-6-train	FR	Pouvez-vous faire la vaisselle plus tard?
589	corpus-6-train	FR	Je voudrais une cuisinière à gaz.
591	corpus-6-train	FR	Pouvez-vous échanger ces dollars américains contre des livres sterling?
594	corpus-6-train	FR	Certainement, Monsieur. Votre nom?
596	corpus-6-train	FR	Je n'ai pas une tenue habillée.
597	corpus-6-train	FR	N'hésitez pas à venir la prochaine fois.
599	corpus-6-test-corpus-26-train	FR	Je ne suis pas sûr d'avoir pris assez de vêtements pour un voyage de trois semaines.
600	corpus-6-train	FR	Deux dollars pièce.
604	corpus-6-train	FR	Les brochures vous seront envoyées sans faute par courrier.
605	corpus-6-train	FR	Il y a quelque chose qui ne va pas avec les feux de stop.
607	corpus-6-train	FR	Veuillez me montrer vos gants en cuir.
608	corpus-6-train	FR	La voiture est tombée en panne. Envoyez quelqu'un la chercher, s'il vous plaît.
609	corpus-6-train	FR	Pourriez-vous recommander un livre d'images pour un enfant de six ans?
610	corpus-6-dev	FR	Pourriez-vous garder mes effets de valeur, s'il vous plaît?
611	corpus-6-train	FR	Salut, Harry. Merci de nous avoir invités.
612	corpus-6-test-corpus-26-train	FR	Et bien, nous aimerions essayer un vin blanc.
614	corpus-6-train	FR	Pour leurs rendez-vous, ils vont au cinéma.
616	corpus-6-train	FR	J'avais environ cent dollars dedans.
619	corpus-6-train	FR	C'est ma faute.
621	corpus-6-train	FR	Je voudrais des pinces à linge.
623	corpus-6-train	FR	Vous avez des CD importés?
625	corpus-6-train	FR	Je vais étudier la conversation anglaise.
627	corpus-6-train	FR	Avez-vous lu de bons livres ces derniers temps?
629	corpus-6-train	FR	Je logerai chez un ami à New York.
631	corpus-6-test-corpus-26-train	FR	Si quelqu'un me demande, dites que je suis au café.
632	corpus-6-test-corpus-26-train	FR	Je suis sûr que je l'avais mis dans la poche intérieure de mon manteau.
633	corpus-6-train	FR	Est-ce qu'il y a un endroit où je peux laisser mes bagages?
634	corpus-6-train	FR	Je suis venu ici pour affaires.
